36 scenes, 16.7 s each, FONT loads for both layers every frame, snapshots streaming
ok    full-4bpp-32-det       rows 241907, late 0, merged 0; latency max 20404 (9% spare), 99.9% 19967, mean 9795; core 1 half 15086, core 0 16636, split 160; latch isr max 4202; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    full-8bpp-16           rows 241574, late 0, merged 0; latency max 15922 (29% spare), 99.9% 15743, mean 8201; core 1 half 10970, core 0 11916, split 163; latch isr max 4202; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    full-8bpp-16-det       rows 241644, late 0, merged 0; latency max 17913 (20% spare), 99.9% 17791, mean 8280; core 1 half 12779, core 0 13941, split 160; latch isr max 4202; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    full-8bpp-32           rows 241677, late 0, merged 0; latency max 17349 (22% spare), 99.9% 17023, mean 8783; core 1 half 12158, core 0 13487, split 160; latch isr max 4202; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    full-8bpp-32-det       rows 241921, late 0, merged 0; latency max 19167 (14% spare), 99.9% 18943, mean 9042; core 1 half 14012, core 0 15544, split 160; latch isr max 4202; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    full-4bpp-16-lim16     rows 241904, late 0, merged 0; latency max 13372 (40% spare), 99.9% 12927, mean 8601; core 1 half 9056, core 0 10475, split 158; latch isr max 4202; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    full-4bpp-16-det-lim16 rows 241892, late 0, merged 0; latency max 14189 (37% spare), 99.9% 14079, mean 8687; core 1 half 9955, core 0 11644, split 158; latch isr max 4202; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    full-4bpp-32-lim16     rows 241886, late 0, merged 0; latency max 14209 (36% spare), 99.9% 14079, mean 8991; core 1 half 10112, core 0 11280, split 160; latch isr max 4202; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    full-4bpp-32-det-lim16 rows 241892, late 0, merged 0; latency max 15383 (31% spare), 99.9% 15231, mean 9156; core 1 half 11205, core 0 12421, split 160; latch isr max 4205; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
wrote docs/results/phase-10/scenes-10min-all.json
no late rows
